"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5910634";"";"None";"491.63";"1";"7.32";"BDBM349617";"CCC(C)NCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691312";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5852582";"";"None";"560.62";"2";"6.61";"BDBM288647";"CC1Cc2cc(-c3ccc(-c4cnn(C)c4)nc3)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"17.4";"nM";"7.76";"";"550465";"UO_0000065";"13.84";"0.26";"1.15";"10.89";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"17.4"
"CHEMBL5821539";"";"None";"461.46";"1";"6.03";"BDBM288669";"CC1Cc2c(oc3cc(F)ccc23)C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"4.47";"nM";"8.35";"";"550487";"UO_0000065";"18.09";"0.35";"2.32";"15.55";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"4.47"
"CHEMBL5886900";"";"None";"509.53";"2";"6.28";"BDBM288671";"CC1Cc2c(oc3ccc(-c4cn[nH]c4)cc23)C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"1.22";"nM";"8.91";"";"550489";"UO_0000065";"17.49";"0.33";"2.63";"10.82";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"1.22"
"CHEMBL5911530";"";"None";"525.62";"2";"6.67";"BDBM288640";"CC(C)Cn1cc(-c2ccc3c(c2)CC(C)N(CC(C)(C)F)C3c2c(F)cc(/C=C/C(=O)O)cc2F)cn1";"IC50";"'='";"26.0";"nM";"7.58";"";"550458";"UO_0000065";"14.43";"0.27";"0.92";"13.00";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"26.0"
"CHEMBL5927812";"";"None";"419.44";"0";"4.85";"BDBM288601";"CC1Cc2cc(O)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"0.72";"nM";"9.14";"";"550419";"UO_0000065";"21.80";"0.42";"4.29";"15.04";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"0.72"
"CHEMBL5955907";"";"None";"459.53";"1";"6.36";"BDBM288603";"CC1Cc2c(sc3ccccc23)C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"1.25";"nM";"8.90";"";"550421";"UO_0000065";"19.37";"0.38";"2.54";"21.96";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"1.25"
"CHEMBL6042742";"";"None";"463.57";"1";"6.54";"BDBM349622";"CNCCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691322";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5881506";"";"None";"475.59";"1";"7.38";"BDBM349607";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(N2CCCCC2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691292";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5812499";"";"None";"463.57";"1";"6.54";"BDBM349606";"CCNCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691289";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5812499";"";"None";"463.57";"1";"6.54";"BDBM349606";"CCNCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691290";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5937257";"";"None";"435.52";"1";"5.89";"BDBM349610";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CCN)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691297";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5920702";"";"None";"477.60";"1";"6.93";"BDBM349611";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CCNC(C)C)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691300";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5740347";"";"None";"519.64";"2";"7.25";"BDBM349612";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(OCCN2CCCCC2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691301";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5759144";"";"None";"505.66";"2";"7.71";"BDBM349615";"CCC(CC)NCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691307";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5838598";"";"None";"517.67";"2";"7.85";"BDBM349616";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CCNC2CCCCC2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691309";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL6041341";"";"None";"491.63";"1";"7.27";"BDBM349618";"CCN(CC)CCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691313";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
